# Force coefficients    
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 5.0000000000000000e+01
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
0.195652                	3.8057830839256214e-02	-3.0253067699907471e-03	-4.8399007331175010e-03	8.9001219736200895e-03	1.0851689855250300e-01	-1.4832638965290570e-02	2.7929037393248195e-02	1.0128793446008017e-02	-1.6345292350285943e-02	1.3319985580295197e-02	1.0609694818594426e-01	-1.1093684891906175e-01
0.2                     	3.8102709263085434e-02	-3.3307657731216607e-03	-5.1163419224813924e-03	9.9927256270457964e-03	1.1039088844894311e-01	-1.6040645347252726e-02	2.9044080258588512e-02	9.0586290044969205e-03	-1.7706028233813557e-02	1.4375262460691896e-02	1.0783271748770241e-01	-1.1294905941018381e-01
0.204545                	3.7696822193404041e-02	-3.5157791902544733e-03	-4.7792399638172641e-03	1.0458667444554473e-02	1.0879018942033251e-01	-2.0601456006409492e-02	2.9307078541256491e-02	8.3897436521475476e-03	-2.2359345601536729e-02	1.8843566411282254e-02	1.0640056943842388e-01	-1.1117980940224115e-01
0.209091                	3.7542403152889418e-02	-3.0252352118911928e-03	-4.6832422664423489e-03	8.8658001654556163e-03	1.0807491040300379e-01	-1.8932887266830959e-02	2.7637001741900327e-02	9.9054014109890929e-03	-2.0445504872776556e-02	1.7420269660885362e-02	1.0573328926978262e-01	-1.1041653153622497e-01
0.213636                	3.7230703203608786e-02	-4.2953078827188814e-03	-4.4040837081568739e-03	1.2307935523233664e-02	1.0574840101439592e-01	-2.6044118743264403e-02	3.0923287125038057e-02	6.3074160785707295e-03	-2.8191772684623844e-02	2.3896464801904962e-02	1.0354635916031749e-01	-1.0795044286847436e-01
0.218182                	3.7378360792886874e-02	-3.8692926907614783e-03	-4.3820343767431756e-03	1.1324539419924156e-02	1.0650611105567589e-01	-2.3543041860699256e-02	3.0013719816367593e-02	7.3646409765192808e-03	-2.5477688206079995e-02	2.1608395515318516e-02	1.0431509386730431e-01	-1.0869712824404748e-01
0.222727                	3.7171850886409431e-02	-3.6207150725196366e-03	-4.3558889734836665e-03	1.0959109091605319e-02	1.0594516307276783e-01	-2.1554964817027098e-02	2.9545034534810034e-02	7.6268163515993970e-03	-2.3365322353286918e-02	1.9744607280767278e-02	1.0376721858602600e-01	-1.0812310755950966e-01
0.227273                	3.7042701308165879e-02	-3.9583994625660033e-03	-4.3228007360446002e-03	1.1741276989648972e-02	1.0576086953784603e-01	-2.2740304138917190e-02	3.0262627643731912e-02	6.7800736644339672e-03	-2.4719503870200190e-02	2.0761104407634189e-02	1.0359946916982372e-01	-1.0792226990586833e-01
0.231818                	3.6802037938853845e-02	-3.2490298749858551e-03	-4.0227192342405646e-03	1.0274661541276079e-02	1.0366508811986133e-01	-1.8570497535676297e-02	2.8675680510703003e-02	8.1263574281508436e-03	-2.0195012473169224e-02	1.6945982598183369e-02	1.0165372850274106e-01	-1.0567644773698161e-01
0.236364                	3.6680181142349604e-02	-2.8967909624916651e-03	-4.1041586033171654e-03	1.0473209546341867e-02	1.0401132878828419e-01	-2.0402522867075820e-02	2.8813300117516670e-02	7.8668810248329352e-03	-2.1850918348321653e-02	1.8954127385829987e-02	1.0195924948662560e-01	-1.0606340808994277e-01
0.240909                	3.6553252701631858e-02	-2.4459194020471512e-03	-4.0841432145283388e-03	7.9105030368974913e-03	1.0275673768634463e-01	-1.5360490800693323e-02	2.6187129387713420e-02	1.0366123313918438e-02	-1.6583450501716900e-02	1.4137531099669748e-02	1.0071466607908046e-01	-1.0479880929360881e-01
0.245455                	3.6368707288962535e-02	-2.5192813199505894e-03	-4.3528735307411717e-03	7.6604000296133564e-03	1.0353143988515545e-01	-1.3342222487984702e-02	2.5844753674094625e-02	1.0523953614867911e-02	-1.4601863147959996e-02	1.2082581828009408e-02	1.0135500311978486e-01	-1.0570787665052604e-01
0.25                    	3.6237413853756513e-02	-3.1405824053152933e-03	-4.2823881757041915e-03	7.3047564196010188e-03	1.0338010326374128e-01	-1.1897381308485500e-02	2.5423463346479276e-02	1.0813950507277237e-02	-1.3467672511143147e-02	1.0327090105827852e-02	1.0123890917588918e-01	-1.0552129735159338e-01
0.254545                	3.6051953822371384e-02	-2.9418919939198833e-03	-4.2674065108380885e-03	6.9560466177741561e-03	1.0330005453089122e-01	-1.1672093533239468e-02	2.4982023528959847e-02	1.1069930293411537e-02	-1.3143039530199409e-02	1.0201147536279527e-02	1.0116635127547217e-01	-1.0543375778631027e-01
0.259091                	3.5989523114930332e-02	-2.7621867104097898e-03	-4.3196328086846708e-03	6.2725088893689279e-03	1.0330014869217523e-01	-9.8313996847517113e-03	2.4267270446834095e-02	1.1722252668096237e-02	-1.1212493039956606e-02	8.4503063295468164e-03	1.0114033228783290e-01	-1.0545996509651756e-01
0.263636                	3.5842214746740500e-02	-1.9554973886815271e-03	-4.2657246933248206e-03	3.8089571634085098e-03	1.0290726118215682e-01	-5.2804196742575662e-03	2.1730064536778761e-02	1.4112150209961739e-02	-6.2581683685983295e-03	4.3026709799168028e-03	1.0077439883549441e-01	-1.0504012352881922e-01
0.268182                	3.5764186244724751e-02	-1.1174206608175635e-03	-4.3670032737852154e-03	2.6814801542555558e-03	1.0312923486369414e-01	-1.2926293427489948e-03	2.0563573276617932e-02	1.5200612968106819e-02	-1.8513396731577765e-03	7.3391901234021303e-04	1.0094573322680153e-01	-1.0531273650058676e-01
0.272727                	3.5608391377660371e-02	-1.7675541014876717e-03	-4.3980185126110492e-03	3.7890373518034925e-03	1.0389490112487186e-01	-2.5473169624042977e-03	2.1593233040633677e-02	1.4015158337026693e-02	-3.4310940131481336e-03	1.6635399116604619e-03	1.0169589186856634e-01	-1.0609391038117738e-01
0.277273                	3.5467757582463719e-02	-1.4898207231758137e-03	-4.3707070843014336e-03	3.5733315528490807e-03	1.0337099197267124e-01	-2.8952498873568247e-03	2.1307210344080941e-02	1.4160547238382778e-02	-3.6401602489447315e-03	2.1503395257689178e-03	1.0118563843052053e-01	-1.0555634551482196e-01
0.281818                	3.5354510054175878e-02	-4.7333597155035711e-04	-4.1744179874144798e-03	1.0422023026279913e-03	1.0241417214541083e-01	1.3256706033154997e-03	1.8719457329715930e-02	1.6635052724459948e-02	1.0890026175403211e-03	-1.5623385890906783e-03	1.0032696315170360e-01	-1.0450138113911807e-01
0.286364                	3.5310951953473411e-02	-8.4275288931755265e-04	-4.0919838036841179e-03	4.1954965362999856e-04	1.0275288139281366e-01	5.3659457569860056e-03	1.8075025630366705e-02	1.7235926323106707e-02	4.9445693123272294e-03	-5.7873222016447817e-03	1.0070688949097160e-01	-1.0479887329465572e-01
0.290909                	3.5292988778392438e-02	-1.2803285368030580e-03	-4.2289068608713154e-03	1.8018906616342225e-03	1.0352577063222199e-01	2.0298466479662090e-03	1.9448385050830443e-02	1.5844603727561996e-02	1.3896823795646800e-03	-2.6700109163677382e-03	1.0141131720178632e-01	-1.0564022406265765e-01
0.293939                	3.5205602237643609e-02	1.8880219606519502e-05	-4.0276649856644661e-03	-1.8975993419845347e-03	1.0230307699710878e-01	1.1008043291742547e-02	1.5705201776837270e-02	1.9500400460806339e-02	1.1017483401545807e-02	-1.0998603181939287e-02	1.0028924450427655e-01	-1.0431690948994100e-01
0.29697                 	3.4641378839022290e-02	3.3612368402363886e-04	-3.7587776166005645e-03	5.5688896496027646e-04	9.7903694732359423e-02	2.2295260749336694e-03	1.7877578384471422e-02	1.6763800454550868e-02	2.3975879169454888e-03	-2.0614642329218500e-03	9.6024305924059139e-02	-9.9783083540659706e-02
0.3                     	3.4625999341165725e-02	-1.6974997297597146e-03	-3.7394310382385040e-03	6.9737191873112357e-03	9.7845296864752129e-02	-1.1358500212854167e-02	2.4286718857894098e-02	1.0339280483271627e-02	-1.2207250077734025e-02	1.0509750347974309e-02	9.5975581345632874e-02	-9.9715012383871385e-02
0.303448                	3.4545502969888148e-02	-2.4286649650463758e-03	-3.6214676943387863e-03	9.0927476202305353e-03	9.7394785634537545e-02	-1.5621525451706135e-02	2.6365499105174609e-02	8.1800038647135385e-03	-1.6835857934229322e-02	1.4407192969182947e-02	9.5584051787368146e-02	-9.9205519481706944e-02
