# Force coefficients    
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 5.0000000000000000e+00
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e+00
# CofR                  : (0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cs                      	Cl                      	CmRoll                  	CmPitch                 	CmYaw                   	Cd(f)                   	Cd(r)                   	Cs(f)                   	Cs(r)                   	Cl(f)                   	Cl(r)                   
0.25                    	3.6237413853756504e+00	-3.1405824053152925e-01	-4.2823881757041898e-01	7.3047564196010162e-01	1.0338010326374127e+01	-1.1897381308485495e+00	2.5423463346479269e+00	1.0813950507277235e+00	-1.3467672511143141e+00	1.0327090105827850e+00	1.0123890917588916e+01	-1.0552129735159337e+01
0.254545                	3.6051953822371372e+00	-2.9418919939198823e-01	-4.2674065108380888e-01	6.9560466177741553e-01	1.0330005453089122e+01	-1.1672093533239465e+00	2.4982023528959840e+00	1.1069930293411532e+00	-1.3143039530199405e+00	1.0201147536279525e+00	1.0116635127547218e+01	-1.0543375778631026e+01
0.259091                	3.5989523114930329e+00	-2.7621867104097886e-01	-4.3196328086846697e-01	6.2725088893689274e-01	1.0330014869217520e+01	-9.8313996847517093e-01	2.4267270446834091e+00	1.1722252668096238e+00	-1.1212493039956604e+00	8.4503063295468150e-01	1.0114033228783287e+01	-1.0545996509651753e+01
0.263636                	3.5842214746740488e+00	-1.9554973886815266e-01	-4.2657246933248194e-01	3.8089571634085084e-01	1.0290726118215680e+01	-5.2804196742575660e-01	2.1730064536778753e+00	1.4112150209961736e+00	-6.2581683685983291e-01	4.3026709799168028e-01	1.0077439883549440e+01	-1.0504012352881920e+01
0.268182                	3.5764186244724741e+00	-1.1174206608175634e-01	-4.3670032737852138e-01	2.6814801542555555e-01	1.0312923486369412e+01	-1.2926293427489940e-01	2.0563573276617926e+00	1.5200612968106815e+00	-1.8513396731577758e-01	7.3391901234021228e-02	1.0094573322680152e+01	-1.0531273650058672e+01
0.272727                	3.5608391377660364e+00	-1.7675541014876714e-01	-4.3980185126110483e-01	3.7890373518034914e-01	1.0389490112487184e+01	-2.5473169624042979e-01	2.1593233040633675e+00	1.4015158337026690e+00	-3.4310940131481338e-01	1.6635399116604621e-01	1.0169589186856632e+01	-1.0609391038117737e+01
0.277273                	3.5467757582463713e+00	-1.4898207231758134e-01	-4.3707070843014328e-01	3.5733315528490794e-01	1.0337099197267122e+01	-2.8952498873568233e-01	2.1307210344080936e+00	1.4160547238382777e+00	-3.6401602489447299e-01	2.1503395257689167e-01	1.0118563843052051e+01	-1.0555634551482193e+01
0.281818                	3.5354510054175869e+00	-4.7333597155035698e-02	-4.1744179874144793e-01	1.0422023026279911e-01	1.0241417214541080e+01	1.3256706033154997e-01	1.8719457329715925e+00	1.6635052724459944e+00	1.0890026175403211e-01	-1.5623385890906782e-01	1.0032696315170357e+01	-1.0450138113911803e+01
0.286364                	3.5310951953473406e+00	-8.4275288931755246e-02	-4.0919838036841172e-01	4.1954965362999842e-02	1.0275288139281365e+01	5.3659457569860047e-01	1.8075025630366701e+00	1.7235926323106705e+00	4.9445693123272283e-01	-5.7873222016447812e-01	1.0070688949097159e+01	-1.0479887329465571e+01
0.290909                	3.5292988778392429e+00	-1.2803285368030576e-01	-4.2289068608713143e-01	1.8018906616342223e-01	1.0352577063222196e+01	2.0298466479662083e-01	1.9448385050830437e+00	1.5844603727561992e+00	1.3896823795646795e-01	-2.6700109163677371e-01	1.0141131720178629e+01	-1.0564022406265762e+01
0.293939                	3.5205602237643605e+00	1.8880219606519522e-03	-4.0276649856644647e-01	-1.8975993419845341e-01	1.0230307699710876e+01	1.1008043291742546e+00	1.5705201776837268e+00	1.9500400460806337e+00	1.1017483401545807e+00	-1.0998603181939286e+00	1.0028924450427652e+01	-1.0431690948994099e+01
0.29697                 	3.4641378839022283e+00	3.3612368402363882e-02	-3.7587776166005632e-01	5.5688896496027644e-02	9.7903694732359412e+00	2.2295260749336687e-01	1.7877578384471418e+00	1.6763800454550866e+00	2.3975879169454881e-01	-2.0614642329218494e-01	9.6024305924059128e+00	-9.9783083540659696e+00
0.3                     	3.4625999341165716e+00	-1.6974997297597141e-01	-3.7394310382385032e-01	6.9737191873112347e-01	9.7845296864752136e+00	-1.1358500212854166e+00	2.4286718857894094e+00	1.0339280483271622e+00	-1.2207250077734022e+00	1.0509750347974309e+00	9.5975581345632879e+00	-9.9715012383871393e+00
0.303448                	3.4545502969888142e+00	-2.4286649650463754e-01	-3.6214676943387858e-01	9.0927476202305335e-01	9.7394785634537531e+00	-1.5621525451706131e+00	2.6365499105174606e+00	8.1800038647135376e-01	-1.6835857934229319e+00	1.4407192969182943e+00	9.5584051787368143e+00	-9.9205519481706919e+00
0.30731                 	3.4607142832328179e+00	-2.6093950129485116e-01	-3.6023417816554237e-01	1.0446365038614585e+00	9.7149609405427437e+00	-1.9099931478912249e+00	2.7749936454778674e+00	6.8572063775495051e-01	-2.0404628985386504e+00	1.7795233972437994e+00	9.5348438514599732e+00	-9.8950780296255143e+00
0.311724                	3.4716479595873810e+00	-2.3857441608616478e-01	-3.4511384945346807e-01	9.5215595005866627e-01	9.6154840913083799e+00	-1.7755127199393204e+00	2.6879799298523568e+00	7.8366802973502425e-01	-1.8947999279824028e+00	1.6562255118962379e+00	9.4429271665816454e+00	-9.7880410160351143e+00
